#: table_doi: 10.17182/hepdata.91996.v2/t18
#: name: Table 18
#: description: Spherocity intervals used in this analysis.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (0-10% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,0-10%
15.9375,15.625,16.25,0.700 - 0.747
16.5625,16.25,16.875,0.704 - 0.750
17.1875,16.875,17.5,0.707 - 0.754
17.8125,17.5,18.125,0.711 - 0.758
18.4375,18.125,18.75,0.715 - 0.761
19.0625,18.75,19.375,0.718 - 0.763
19.6875,19.375,20.0,0.721 - 0.766
20.3125,20.0,20.625,0.725 - 0.769
20.9375,20.625,21.25,0.728 - 0.772
21.5625,21.25,21.875,0.731 - 0.774
22.1875,21.875,22.5,0.734 - 0.777
22.8125,22.5,23.125,0.736 - 0.779
23.4375,23.125,23.75,0.738 - 0.780
24.0625,23.75,24.375,0.741 - 0.783
24.6875,24.375,25.0,0.743 - 0.785
25.3125,25.0,25.625,0.746 - 0.788
25.9375,25.625,26.25,0.749 - 0.790
26.5625,26.25,26.875,0.750 - 0.791
27.1875,26.875,27.5,0.752 - 0.793
27.8125,27.5,28.125,0.754 - 0.795
28.4375,28.125,28.75,0.756 - 0.796
29.0625,28.75,29.375,0.758 - 0.798
29.6875,29.375,30.0,0.759 - 0.799
30.3125,30.0,30.625,0.761 - 0.800
30.9375,30.625,31.25,0.763 - 0.802
31.5625,31.25,31.875,0.764 - 0.803
32.1875,31.875,32.5,0.766 - 0.805
32.8125,32.5,33.125,0.767 - 0.806
33.4375,33.125,33.75,0.769 - 0.807
34.0625,33.75,34.375,0.770 - 0.808
34.6875,34.375,35.0,0.772 - 0.810
35.3125,35.0,35.625,0.773 - 0.811
35.9375,35.625,36.25,0.774 - 0.812
36.5625,36.25,36.875,0.776 - 0.813
37.1875,36.875,37.5,0.777 - 0.814
37.8125,37.5,38.125,0.778 - 0.815
38.4375,38.125,38.75,0.779 - 0.816
39.0625,38.75,39.375,0.780 - 0.817
39.6875,39.375,40.0,0.781 - 0.818
40.3125,40.0,40.625,0.782 - 0.819
40.9375,40.625,41.25,0.783 - 0.820
41.5625,41.25,41.875,0.784 - 0.821
42.1875,41.875,42.5,0.785 - 0.821
42.8125,42.5,43.125,0.786 - 0.822
43.4375,43.125,43.75,0.787 - 0.823
44.0625,43.75,44.375,0.787 - 0.824
44.6875,44.375,45.0,0.788 - 0.824
45.3125,45.0,45.625,0.789 - 0.825
45.9375,45.625,46.25,0.789 - 0.825
46.5625,46.25,46.875,0.790 - 0.826
47.1875,46.875,47.5,0.791 - 0.826
47.8125,47.5,48.125,0.791 - 0.827
48.4375,48.125,48.75,0.792 - 0.827
49.0625,48.75,49.375,0.792 - 0.828
49.6875,49.375,50.0,0.792 - 0.828

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (80-90% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,80-90%
2.1875,1.875,2.5,0.463 - 0.558
2.8125,2.5,3.125,0.495 - 0.589
3.4375,3.125,3.75,0.529 - 0.619
4.0625,3.75,4.375,0.558 - 0.646
4.6875,4.375,5.0,0.584 - 0.667
5.3125,5.0,5.625,0.605 - 0.685
5.9375,5.625,6.25,0.623 - 0.702
6.5625,6.25,6.875,0.639 - 0.714
7.1875,6.875,7.5,0.652 - 0.725
7.8125,7.5,8.125,0.663 - 0.735
8.4375,8.125,8.75,0.674 - 0.743
9.0625,8.75,9.375,0.683 - 0.751
9.6875,9.375,10.0,0.692 - 0.758
10.3125,10.0,10.625,0.700 - 0.764
10.9375,10.625,11.25,0.707 - 0.770
11.5625,11.25,11.875,0.713 - 0.775
12.1875,11.875,12.5,0.718 - 0.780
12.8125,12.5,13.125,0.724 - 0.784
13.4375,13.125,13.75,0.729 - 0.789
14.0625,13.75,14.375,0.734 - 0.793
14.6875,14.375,15.0,0.738 - 0.797
15.3125,15.0,15.625,0.743 - 0.800
15.9375,15.625,16.25,0.747 - 0.804
16.5625,16.25,16.875,0.750 - 0.806
17.1875,16.875,17.5,0.754 - 0.809
17.8125,17.5,18.125,0.758 - 0.812
18.4375,18.125,18.75,0.761 - 0.815
19.0625,18.75,19.375,0.763 - 0.817
19.6875,19.375,20.0,0.766 - 0.820
20.3125,20.0,20.625,0.769 - 0.823
20.9375,20.625,21.25,0.772 - 0.824
21.5625,21.25,21.875,0.774 - 0.826
22.1875,21.875,22.5,0.777 - 0.828
22.8125,22.5,23.125,0.779 - 0.830
23.4375,23.125,23.75,0.780 - 0.832
24.0625,23.75,24.375,0.783 - 0.833
24.6875,24.375,25.0,0.785 - 0.835
25.3125,25.0,25.625,0.788 - 0.835
25.9375,25.625,26.25,0.790 - 0.838
26.5625,26.25,26.875,0.791 - 0.839
27.1875,26.875,27.5,0.793 - 0.841
27.8125,27.5,28.125,0.795 - 0.842
28.4375,28.125,28.75,0.796 - 0.843
29.0625,28.75,29.375,0.798 - 0.844
29.6875,29.375,30.0,0.799 - 0.846
30.3125,30.0,30.625,0.800 - 0.847
30.9375,30.625,31.25,0.802 - 0.848
31.5625,31.25,31.875,0.803 - 0.849
32.1875,31.875,32.5,0.805 - 0.850
32.8125,32.5,33.125,0.806 - 0.851
33.4375,33.125,33.75,0.807 - 0.852
34.0625,33.75,34.375,0.808 - 0.853
34.6875,34.375,35.0,0.810 - 0.854
35.3125,35.0,35.625,0.811 - 0.855
35.9375,35.625,36.25,0.812 - 0.856
36.5625,36.25,36.875,0.813 - 0.857
37.1875,36.875,37.5,0.814 - 0.858
37.8125,37.5,38.125,0.815 - 0.858
38.4375,38.125,38.75,0.816 - 0.859
39.0625,38.75,39.375,0.817 - 0.860
39.6875,39.375,40.0,0.818 - 0.861
40.3125,40.0,40.625,0.819 - 0.861
40.9375,40.625,41.25,0.820 - 0.862
41.5625,41.25,41.875,0.821 - 0.862
42.1875,41.875,42.5,0.821 - 0.863
42.8125,42.5,43.125,0.822 - 0.864
43.4375,43.125,43.75,0.823 - 0.864
44.0625,43.75,44.375,0.824 - 0.865
44.6875,44.375,45.0,0.824 - 0.865
45.3125,45.0,45.625,0.825 - 0.865
45.9375,45.625,46.25,0.825 - 0.866
46.5625,46.25,46.875,0.826 - 0.866
47.1875,46.875,47.5,0.826 - 0.866
47.8125,47.5,48.125,0.827 - 0.867
48.4375,48.125,48.75,0.827 - 0.867
49.0625,48.75,49.375,0.828 - 0.867
49.6875,49.375,50.0,0.828 - 0.867

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (90-100% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,90-100%
2.1875,1.875,2.5,0.558 - 1
2.8125,2.5,3.125,0.589 - 1
3.4375,3.125,3.75,0.619 - 1
4.0625,3.75,4.375,0.646 - 1
4.6875,4.375,5.0,0.667 - 1
5.3125,5.0,5.625,0.685 - 1
5.9375,5.625,6.25,0.702 - 1
6.5625,6.25,6.875,0.714 - 1
7.1875,6.875,7.5,0.725 - 1
7.8125,7.5,8.125,0.735 - 1
8.4375,8.125,8.75,0.743 - 1
9.0625,8.75,9.375,0.751 - 1
9.6875,9.375,10.0,0.758 - 1
10.3125,10.0,10.625,0.764 - 1
10.9375,10.625,11.25,0.770 - 1
11.5625,11.25,11.875,0.775 - 1
12.1875,11.875,12.5,0.780 - 1
12.8125,12.5,13.125,0.784 - 1
13.4375,13.125,13.75,0.789 - 1
14.0625,13.75,14.375,0.793 - 1
14.6875,14.375,15.0,0.797 - 1
15.3125,15.0,15.625,0.800 - 1
15.9375,15.625,16.25,0.804 - 1
16.5625,16.25,16.875,0.806 - 1
17.1875,16.875,17.5,0.809 - 1
17.8125,17.5,18.125,0.812 - 1
18.4375,18.125,18.75,0.815 - 1
19.0625,18.75,19.375,0.817 - 1
19.6875,19.375,20.0,0.820 - 1
20.3125,20.0,20.625,0.823 - 1
20.9375,20.625,21.25,0.824 - 1
21.5625,21.25,21.875,0.826 - 1
22.1875,21.875,22.5,0.828 - 1
22.8125,22.5,23.125,0.830 - 1
23.4375,23.125,23.75,0.832 - 1
24.0625,23.75,24.375,0.833 - 1
24.6875,24.375,25.0,0.835 - 1
25.3125,25.0,25.625,0.835 - 1
25.9375,25.625,26.25,0.838 - 1
26.5625,26.25,26.875,0.839 - 1
27.1875,26.875,27.5,0.841 - 1
27.8125,27.5,28.125,0.842 - 1
28.4375,28.125,28.75,0.843 - 1
29.0625,28.75,29.375,0.844 - 1
29.6875,29.375,30.0,0.846 - 1
30.3125,30.0,30.625,0.847 - 1
30.9375,30.625,31.25,0.848 - 1
31.5625,31.25,31.875,0.849 - 1
32.1875,31.875,32.5,0.850 - 1
32.8125,32.5,33.125,0.851 - 1
33.4375,33.125,33.75,0.852 - 1
34.0625,33.75,34.375,0.853 - 1
34.6875,34.375,35.0,0.854 - 1
35.3125,35.0,35.625,0.855 - 1
35.9375,35.625,36.25,0.856 - 1
36.5625,36.25,36.875,0.857 - 1
37.1875,36.875,37.5,0.858 - 1
37.8125,37.5,38.125,0.858 - 1
38.4375,38.125,38.75,0.859 - 1
39.0625,38.75,39.375,0.860 - 1
39.6875,39.375,40.0,0.861 - 1
40.3125,40.0,40.625,0.861 - 1
40.9375,40.625,41.25,0.862 - 1
41.5625,41.25,41.875,0.862 - 1
42.1875,41.875,42.5,0.863 - 1
42.8125,42.5,43.125,0.864 - 1
43.4375,43.125,43.75,0.864 - 1
44.0625,43.75,44.375,0.865 - 1
44.6875,44.375,45.0,0.865 - 1
45.3125,45.0,45.625,0.865 - 1
45.9375,45.625,46.25,0.866 - 1
46.5625,46.25,46.875,0.866 - 1
47.1875,46.875,47.5,0.866 - 1
47.8125,47.5,48.125,0.867 - 1
48.4375,48.125,48.75,0.867 - 1
49.0625,48.75,49.375,0.867 - 1
49.6875,49.375,50.0,0.867 - 1

